# SPDX-License-Identifier: MIT
# host sampler, 1 Hz, local time: ts,used_mib,free_mib,util,enc_sessions,enc_fps,desktop_mib,desktop2_mib -- accounting policy, 2026-08-21.
ts,used_mib,free_mib,util,enc_sessions,enc_fps,desktop_mib,desktop2_mib
20:37:27,1506,6267,2,0,0,255,255
20:37:28,1504,6268,0,0,0,255,255
20:37:29,1508,6264,0,0,0,255,255
20:37:30,1546,6227,1,0,0,256,255
20:37:31,1523,6250,46,0,0,256,255
20:37:32,1522,6250,44,0,0,256,255
20:37:33,1533,6239,43,0,0,256,266
20:37:35,1517,6255,71,0,0,256,266
20:37:36,1517,6255,74,0,0,256,266
20:37:37,1615,6157,56,0,0,354,266
20:37:38,1651,6121,71,0,0,374,266
20:37:39,1648,6124,49,0,0,374,266
20:37:40,1648,6124,46,0,0,374,266
20:37:41,1648,6125,44,0,0,374,266
20:37:42,1639,6133,47,0,0,374,266
20:37:43,1619,6153,44,0,0,256,363
20:37:44,1680,6092,53,0,0,256,383
20:37:45,1680,6092,43,0,0,256,383
20:37:46,1656,6117,43,0,0,256,383
20:37:47,1656,6117,47,0,0,256,383
20:37:48,1656,6117,43,0,0,256,383
20:37:49,6953,820,43,0,0,3088,3014
20:37:50,7005,768,44,0,0,3018,3058
20:37:51,7085,688,74,0,0,2992,3068
20:37:53,6969,804,79,0,0,3018,2960
20:37:54,6937,836,78,0,0,3056,3000
20:37:55,7029,744,71,0,0,3092,3094
20:37:56,7127,646,78,0,0,2932,2950
20:37:57,6954,819,76,0,0,2962,2974
20:37:58,7078,695,67,0,0,3018,3056
20:37:59,7123,649,76,0,0,3046,3080
20:38:00,7152,621,75,0,0,2980,2968
20:38:01,7129,643,72,0,0,2978,3052
20:38:02,7105,668,48,0,0,3044,2970
20:38:03,6961,812,48,0,0,2992,3092
20:38:04,7085,688,49,0,0,3032,3004
20:38:05,7028,744,44,0,0,3066,3066
20:38:06,7009,763,46,0,0,3048,2960
20:38:07,7103,669,61,0,0,3010,3024
20:38:08,6949,824,77,0,0,3012,3080
20:38:10,7001,772,71,0,0,2960,3046
20:38:11,7149,623,67,0,0,2962,2978
20:38:12,6991,782,73,0,0,3072,3094
20:38:13,7031,742,77,0,0,2962,2942
20:38:14,7030,742,77,0,0,3024,2922
20:38:15,7032,740,76,0,0,3044,3068
20:38:16,6996,776,76,0,0,3088,3082
20:38:17,7140,633,71,0,0,3012,3018
20:38:18,6993,779,72,0,0,2992,3022
20:38:19,7125,647,72,0,0,2986,3042
20:38:20,7149,623,60,0,0,3048,3022
20:38:21,7121,652,45,0,0,2972,2972
20:38:22,6995,778,46,0,0,2986,3000
20:38:23,6977,796,44,0,0,3032,3026
20:38:24,6999,774,50,0,0,2934,3044
20:38:25,7059,714,57,0,0,2936,2974
20:38:26,6925,848,77,0,0,3000,2974
20:38:27,6955,818,77,0,0,3004,3044
20:38:29,7088,684,70,0,0,2974,2984
20:38:30,7004,769,74,0,0,3006,3066
20:38:31,6914,858,67,0,0,2942,3044
20:38:32,7122,651,74,0,0,3010,2970
20:38:33,6982,790,75,0,0,2982,2922
20:38:34,6952,820,76,0,0,2962,3054
20:38:35,7078,695,74,0,0,3076,2968
20:38:36,7021,751,76,0,0,3004,2992
20:38:37,7109,664,69,0,0,3034,2964
20:38:38,7052,720,75,0,0,3030,3084
20:38:39,7016,756,71,0,0,3072,3040
20:38:40,7069,703,68,0,0,3078,2958
20:38:41,7069,704,72,0,0,3006,3032
20:38:42,6947,826,65,0,0,3052,3014
20:38:43,7109,664,72,0,0,3020,2972
20:38:44,7012,761,71,0,0,3022,3050
20:38:45,7092,680,74,0,0,3078,3004
20:38:47,7048,725,73,0,0,2982,3004
20:38:48,6951,821,76,0,0,2982,3064
20:38:49,7059,713,54,0,0,3068,3076
20:38:50,7066,707,50,0,0,2984,2964
20:38:51,6945,827,44,0,0,3034,3016
20:38:52,6963,809,47,0,0,3058,3054
20:38:53,6943,829,46,0,0,2950,2986
20:38:54,7027,746,68,0,0,2956,2978
20:38:55,7071,701,75,0,0,2976,3026
20:38:56,6976,796,72,0,0,3014,3056
20:38:57,7178,595,76,0,0,3044,3044
20:38:58,6977,795,73,0,0,3032,3088
20:38:59,6969,803,77,0,0,3028,3070
20:39:00,7075,697,76,0,0,3058,3004
20:39:01,7083,690,70,0,0,3094,2968
20:39:02,7002,770,73,0,0,3092,3046
20:39:03,7019,754,70,0,0,3052,3096
20:39:05,6865,907,68,0,0,3002,3066
20:39:06,7049,723,77,0,0,3090,3022
20:39:07,7060,713,68,0,0,2942,3056
20:39:08,7027,745,77,0,0,2970,3012
20:39:09,7088,685,74,0,0,2934,3050
20:39:10,7012,761,66,0,0,2986,3080
20:39:11,6952,821,74,0,0,2912,3054
20:39:12,6968,804,69,0,0,2912,3062
20:39:13,7020,752,78,0,0,3092,2996
20:39:14,7019,753,77,0,0,2996,3092
20:39:15,7059,713,75,0,0,3018,2958
20:39:16,6969,803,68,0,0,2960,2964
20:39:17,6971,802,71,0,0,3030,2988
20:39:18,6953,820,76,0,0,2986,3026
20:39:19,7079,694,75,0,0,3036,3062
20:39:20,6891,882,72,0,0,3020,3042
20:39:22,7065,708,72,0,0,3050,3058
20:39:23,6975,798,68,0,0,3036,2970
20:39:24,6997,776,73,0,0,2974,2940
20:39:25,7049,724,73,0,0,2964,2994
20:39:26,7017,756,75,0,0,3030,2952
20:39:27,7037,736,77,0,0,3064,2976
20:39:28,7027,746,69,0,0,3038,2960
20:39:29,6988,784,74,0,0,3042,3062
20:39:30,6992,780,74,0,0,3018,3048
20:39:31,7069,703,50,0,0,2986,3056
20:39:32,7069,703,46,0,0,2962,3038
20:39:33,7057,715,45,0,0,3038,2940
20:39:34,6939,834,46,0,0,2936,3028
20:39:35,7019,754,47,0,0,2994,2986
20:39:36,6949,824,68,0,0,3000,2986
20:39:37,6971,802,74,0,0,3004,3094
20:39:38,7036,736,77,0,0,3060,2948
20:39:39,6929,843,77,0,0,3004,2998
20:39:41,7041,732,71,0,0,2912,2968
20:39:42,7019,754,78,0,0,3014,3076
20:39:43,6977,795,70,0,0,3000,3072
20:39:44,7117,656,75,0,0,3042,3012
20:39:45,6909,864,75,0,0,3052,2942
20:39:46,7033,740,71,0,0,2958,3088
20:39:47,7025,748,66,0,0,2952,2938
20:39:48,7085,688,76,0,0,2996,3010
20:39:49,6915,858,77,0,0,3050,3048
20:39:50,7071,701,72,0,0,3030,3054
20:39:51,7119,653,77,0,0,2982,2992
20:39:52,6931,841,70,0,0,3078,2994
20:39:53,6945,827,72,0,0,3056,3028
20:39:54,7043,729,76,0,0,3070,3022
20:39:55,7039,734,72,0,0,3044,2986
20:39:56,6983,789,71,0,0,2990,3005
20:39:58,7069,703,65,0,0,2994,3015
20:39:59,7039,734,74,0,0,3056,3035
20:40:00,6996,777,64,0,0,3072,2981
20:40:01,7144,629,44,0,0,2960,2991
20:40:02,6983,789,45,0,0,2970,3013
20:40:03,7007,765,47,0,0,2992,3058
20:40:04,7029,744,44,0,0,3052,3006
20:40:05,7055,718,66,0,0,3026,2950
20:40:06,6943,830,68,0,0,3024,2948
20:40:07,6977,796,64,0,0,2992,3044
20:40:08,7051,722,68,0,0,2992,2976
20:40:09,6988,784,75,0,0,2990,2884
20:40:10,7102,671,53,0,0,3006,3002
20:40:11,6992,780,48,0,0,3076,2950
20:40:12,7047,726,47,0,0,3050,3008
20:40:13,6925,848,47,0,0,3046,2984
20:40:14,6881,892,49,0,0,3066,2946
20:40:16,6978,794,62,0,0,3036,3010
20:40:17,7090,682,60,0,0,3058,3090
20:40:18,6927,846,45,0,0,2980,3058
20:40:19,7103,670,44,0,0,3010,3048
20:40:20,6973,800,48,0,0,2958,3010
20:40:21,7033,740,44,0,0,2960,3034
20:40:22,6954,818,55,0,0,3082,3076
20:40:23,6992,780,75,0,0,3064,3042
20:40:24,7129,643,69,0,0,3084,3054
20:40:25,7011,762,47,0,0,3086,2948
20:40:26,7101,671,44,0,0,3052,3094
20:40:27,7084,688,46,0,0,3006,3028
20:40:28,7105,667,46,0,0,3048,3014
20:40:29,6938,834,46,0,0,2970,3078
20:40:30,7001,771,71,0,0,3044,3014
20:40:31,6983,789,68,0,0,3040,2986
20:40:32,7147,625,72,0,0,2948,3044
20:40:33,7051,722,72,0,0,2946,3090
20:40:35,7066,706,70,0,0,2968,2960
20:40:36,7120,652,69,0,0,3050,3070
20:40:37,7043,729,44,0,0,3024,2996
20:40:38,6985,787,43,0,0,2982,3058
20:40:39,6979,793,44,0,0,3034,3060
20:40:40,7141,631,48,0,0,3008,3082
20:40:41,6913,860,44,0,0,3010,2986
20:40:42,7119,654,63,0,0,3018,3072
20:40:43,7034,738,70,0,0,2960,3090
20:40:44,7006,766,76,0,0,3040,3028
20:40:45,7127,645,79,0,0,2964,2982
20:40:46,7034,738,71,0,0,3012,3030
20:40:47,7081,691,77,0,0,3062,3054
20:40:48,7057,715,70,0,0,2998,3054
20:40:49,7006,766,67,0,0,3096,2988
20:40:50,6997,775,73,0,0,3010,2964
20:40:51,7042,731,73,0,0,2980,3042
20:40:53,7117,655,80,0,0,3078,3094
20:40:54,6953,820,74,0,0,3084,3058
