# SPDX-License-Identifier: MIT
# the load's own log: t,held_mib,free_mib,total_mib,allocs,frees,fails (guest-side view) -- accounting policy, 2026-08-21.
vrampress: start free 2740 MiB of 3072 MiB, mode max, chunk 128 MiB, churn 64 MiB, 600 s
vrampress: refused at 2688 MiB held after 21 allocations (CUresult 2)
vrampress: grown to 2688 MiB held, 52 MiB free of 3072 MiB
t,held_mib,free_mib,total_mib,allocs,frees,fails
0,2560,180,3072,21,1,2
1,2653,87,3072,51,28,21
2,2674,66,3072,80,57,41
3,2716,24,3072,108,85,61
4,2672,68,3072,136,113,82
5,2599,141,3072,162,141,104
6,2672,68,3072,191,168,124
7,2652,88,3072,216,195,147
8,2600,140,3072,241,219,170
9,2734,6,3072,268,243,192
10,2605,135,3072,292,271,217
11,2693,47,3072,318,296,239
12,2731,9,3072,345,322,261
13,2605,135,3072,371,349,284
14,2622,118,3072,397,375,307
15,2696,44,3072,423,401,330
16,2686,54,3072,451,428,351
17,2678,62,3072,478,454,373
18,2734,6,3072,505,481,395
19,2629,111,3072,528,507,420
20,2670,70,3072,558,535,439
21,2609,131,3072,584,563,461
22,2682,58,3072,611,587,483
23,2606,134,3072,636,615,507
24,2621,119,3072,663,642,529
25,2598,142,3072,689,667,552
26,2637,103,3072,716,693,574
27,2585,155,3072,741,720,597
28,2676,64,3072,768,745,619
29,2682,58,3072,795,771,640
30,2690,50,3072,821,798,662
31,2684,56,3072,849,826,683
32,2620,120,3072,875,853,706
33,2619,121,3072,901,880,729
34,2687,53,3072,926,904,753
35,2718,22,3072,951,929,777
36,2686,54,3072,978,955,798
37,2665,75,3072,1004,981,821
38,2588,152,3072,1031,1010,843
39,2666,74,3072,1059,1037,863
40,2623,117,3072,1085,1064,885
41,2714,26,3072,1111,1088,907
42,2657,83,3072,1137,1116,930
43,2666,74,3072,1164,1141,951
44,2673,67,3072,1191,1169,972
45,2707,33,3072,1217,1194,995
47,2615,125,3072,1242,1221,1018
48,2719,21,3072,1269,1246,1040
49,2635,105,3072,1294,1273,1064
50,2680,60,3072,1321,1298,1085
51,2589,151,3072,1346,1325,1108
52,2664,76,3072,1374,1353,1128
53,2715,25,3072,1402,1380,1149
54,2724,16,3072,1430,1407,1169
55,2618,122,3072,1456,1435,1192
56,2705,35,3072,1483,1460,1214
57,2693,47,3072,1508,1486,1237
58,2623,117,3072,1534,1512,1260
59,2726,14,3072,1560,1537,1283
60,2691,49,3072,1588,1565,1304
61,2685,55,3072,1615,1591,1326
62,2614,126,3072,1641,1619,1349
63,2647,93,3072,1667,1645,1372
64,2598,142,3072,1693,1672,1395
65,2665,75,3072,1720,1698,1416
66,2623,117,3072,1746,1723,1438
67,2677,63,3072,1774,1751,1458
68,2653,87,3072,1800,1778,1480
