# SPDX-License-Identifier: MIT
# the load's own log: t,held_mib,free_mib,total_mib,allocs,frees,fails (guest-side view) -- accounting policy, 2026-08-21.
vrampress: start free 2732 MiB of 3072 MiB, mode max, chunk 128 MiB, churn 64 MiB, 600 s
vrampress: refused at 2688 MiB held after 21 allocations (CUresult 2)
vrampress: grown to 2688 MiB held, 44 MiB free of 3072 MiB
t,held_mib,free_mib,total_mib,allocs,frees,fails
0,2560,172,3072,21,1,2
1,2560,172,3072,46,26,26
2,2632,100,3072,75,53,46
3,2560,172,3072,101,81,69
4,2707,25,3072,128,106,91
5,2674,58,3072,156,133,112
6,2691,41,3072,184,161,133
7,2686,46,3072,210,188,156
8,2731,1,3072,237,212,177
9,2712,20,3072,262,239,201
10,2615,117,3072,287,266,225
11,2627,105,3072,312,290,249
12,2722,10,3072,338,316,272
13,2608,124,3072,363,341,296
14,2693,39,3072,390,368,318
15,2693,39,3072,416,393,341
16,2699,33,3072,442,420,364
17,2632,100,3072,470,448,385
18,2644,88,3072,497,474,407
19,2634,98,3072,523,501,430
20,2705,27,3072,549,525,452
21,2697,35,3072,577,555,472
22,2693,39,3072,604,582,494
23,2579,153,3072,629,608,518
24,2721,11,3072,655,633,540
25,2651,81,3072,680,659,564
26,2625,107,3072,706,684,586
27,2623,109,3072,731,710,609
28,2641,91,3072,757,736,632
29,2639,93,3072,782,760,656
30,2676,56,3072,808,785,679
31,2699,33,3072,835,812,700
32,2649,83,3072,862,840,722
33,2617,115,3072,889,867,744
34,2697,35,3072,917,894,765
35,2702,30,3072,946,923,785
36,2695,37,3072,973,950,807
37,2694,38,3072,997,975,832
38,2713,19,3072,1023,1000,855
39,2641,91,3072,1048,1026,878
40,2657,75,3072,1072,1050,902
42,2700,32,3072,1101,1078,921
43,2665,67,3072,1126,1104,945
44,2652,80,3072,1151,1130,969
45,2731,1,3072,1178,1156,991
46,2669,63,3072,1206,1184,1012
47,2682,50,3072,1234,1210,1033
48,2601,131,3072,1258,1237,1057
49,2606,126,3072,1283,1262,1081
50,2658,74,3072,1308,1287,1104
51,2637,95,3072,1335,1313,1125
52,2598,134,3072,1361,1340,1148
53,2716,16,3072,1388,1366,1170
54,2681,51,3072,1414,1391,1193
55,2663,69,3072,1441,1418,1215
56,2640,92,3072,1468,1445,1237
57,2658,74,3072,1495,1473,1259
58,2612,120,3072,1520,1499,1282
59,2604,128,3072,1545,1524,1306
60,2668,64,3072,1571,1549,1329
61,2723,9,3072,1598,1575,1351
62,2681,51,3072,1623,1601,1375
