# SPDX-License-Identifier: MIT
# host sampler, 1 Hz, local time: ts,used_mib,free_mib,util,enc_sessions,enc_fps,desktop_mib,desktop2_mib -- reservation policy, 2026-08-21.
ts,used_mib,free_mib,util,enc_sessions,enc_fps,desktop_mib,desktop2_mib
20:23:51,1511,6262,0,0,0,255,261
20:23:52,1510,6262,1,0,0,255,261
20:23:53,1502,6271,1,0,0,255,261
20:23:54,1505,6268,1,0,0,257,261
20:23:55,1505,6268,1,0,0,257,261
20:23:56,1505,6268,1,0,0,257,261
20:23:57,1508,6265,1,0,0,257,263
20:23:58,1508,6265,1,0,0,257,263
20:23:59,1509,6264,0,0,0,257,263
20:24:00,1607,6165,7,0,0,355,263
20:24:01,1679,6093,4,0,0,375,263
20:24:02,1678,6094,1,0,0,375,263
20:24:03,1654,6118,1,0,0,375,263
20:24:05,1658,6115,1,0,0,375,263
20:24:06,1642,6131,1,0,0,363,263
20:24:07,1630,6142,3,0,0,257,381
20:24:08,1630,6142,1,0,0,257,381
20:24:09,1626,6146,1,0,0,257,381
20:24:10,1626,6146,1,0,0,257,381
20:24:11,1626,6147,1,0,0,257,381
20:24:12,1508,6265,1,0,0,257,263
20:24:13,6420,1353,5,0,0,2705,2769
20:24:14,6525,1248,7,0,0,2715,2815
20:24:15,6515,1258,12,0,0,2727,2787
20:24:16,6664,1108,11,0,0,2755,2717
20:24:17,6553,1219,9,0,0,2809,2777
20:24:18,6593,1179,7,0,0,2771,2775
20:24:19,6542,1230,7,0,0,2811,2797
20:24:20,6482,1291,8,0,0,2835,2705
20:24:21,6524,1249,8,0,0,2683,2839
20:24:22,6574,1199,8,0,0,2703,2709
20:24:23,6520,1253,9,0,0,2693,2829
20:24:24,6470,1303,9,0,0,2755,2773
20:24:25,6593,1180,11,0,0,2795,2727
20:24:27,6592,1181,12,0,0,2709,2717
20:24:28,6516,1256,10,0,0,2751,2797
20:24:29,6558,1215,8,0,0,2817,2841
20:24:30,6514,1259,15,0,0,2777,2727
20:24:31,6602,1171,22,0,0,2717,2805
20:24:32,6528,1245,25,0,0,2747,2807
20:24:33,6476,1297,30,0,0,2761,2699
20:24:34,6614,1159,29,0,0,2841,2833
20:24:35,6484,1289,43,0,0,2703,2683
20:24:36,6595,1178,29,0,0,2789,2713
20:24:37,6410,1363,22,0,0,2804,2753
20:24:38,6430,1343,47,0,0,2736,2801
20:24:39,6425,1347,45,0,0,2748,2826
20:24:40,6471,1301,45,0,0,2772,2820
20:24:41,6553,1220,71,0,0,2744,2820
20:24:42,6444,1328,71,0,0,2750,2762
20:24:43,6402,1370,70,0,0,2690,2720
20:24:45,6493,1280,72,0,0,2714,2722
20:24:46,6489,1284,70,0,0,2766,2768
20:24:47,6407,1366,73,0,0,2810,2784
20:24:48,6585,1188,73,0,0,2754,2784
20:24:49,6551,1222,72,0,0,2698,2692
20:24:50,6477,1296,75,0,0,2810,2668
20:24:51,6535,1238,75,0,0,2774,2764
20:24:52,6554,1219,69,0,0,2742,2816
20:24:53,6498,1275,72,0,0,2824,2726
20:24:54,6564,1209,73,0,0,2772,2760
20:24:55,6523,1249,73,0,0,2762,2734
20:24:56,6507,1265,73,0,0,2812,2714
20:24:57,6421,1351,72,0,0,2728,2718
20:24:58,6456,1317,74,0,0,2810,2756
20:24:59,6539,1234,71,0,0,2806,2744
20:25:00,6527,1246,72,0,0,2774,2714
20:25:02,6539,1234,74,0,0,2816,2780
20:25:03,6505,1268,70,0,0,2822,2694
20:25:04,6569,1204,74,0,0,2780,2732
20:25:05,6549,1224,72,0,0,2768,2752
20:25:06,6555,1218,74,0,0,2736,2798
20:25:07,6579,1194,70,0,0,2786,2710
20:25:08,6579,1194,70,0,0,2786,2822
20:25:09,6531,1242,72,0,0,2780,2774
20:25:10,6515,1258,70,0,0,2828,2770
20:25:11,6457,1316,71,0,0,2750,2794
20:25:12,6501,1272,72,0,0,2828,2748
20:25:13,6493,1280,72,0,0,2712,2818
20:25:14,6421,1352,72,0,0,2774,2764
20:25:15,6485,1288,72,0,0,2824,2838
20:25:16,6527,1246,73,0,0,2680,2774
20:25:18,6453,1320,71,0,0,2756,2668
20:25:19,6535,1238,78,0,0,2826,2828
20:25:20,6599,1174,74,0,0,2716,2792
20:25:21,6377,1396,78,0,0,2806,2760
