# SPDX-License-Identifier: MIT
# the load's own log: t,held_mib,free_mib,total_mib,allocs,frees,fails (guest-side view) -- reservation policy, 2026-08-21.
vrampress: start free 2483 MiB of 2816 MiB, mode max, chunk 128 MiB, churn 64 MiB, 600 s
vrampress: refused at 2432 MiB held after 19 allocations (CUresult 2)
vrampress: grown to 2432 MiB held, 51 MiB free of 2816 MiB
t,held_mib,free_mib,total_mib,allocs,frees,fails
0,2304,179,2816,19,1,2
1,2397,86,2816,49,28,21
2,2418,65,2816,78,57,41
3,2443,40,2816,106,86,62
4,2376,107,2816,135,114,83
5,2447,36,2816,164,142,104
6,2385,98,2816,192,171,126
7,2473,10,2816,219,198,149
8,2368,115,2816,245,225,173
9,2415,68,2816,271,250,197
10,2349,134,2816,296,277,222
11,2404,79,2816,324,304,244
12,2374,109,2816,351,330,267
13,2463,20,2816,377,356,290
14,2366,117,2816,402,382,314
15,2433,50,2816,429,408,336
16,2392,91,2816,456,437,359
17,2471,12,2816,484,462,381
18,2402,81,2816,510,490,405
19,2446,37,2816,536,514,428
20,2372,111,2816,565,544,449
21,2353,130,2816,592,573,472
22,2368,115,2816,618,598,495
23,2463,20,2816,646,625,516
24,2397,86,2816,671,650,536
25,2342,141,2816,696,676,560
26,2419,64,2816,724,703,581
27,2352,131,2816,749,729,605
28,2403,80,2816,776,756,627
29,2363,120,2816,802,782,649
30,2388,95,2816,829,810,671
31,2397,86,2816,858,837,691
32,2346,137,2816,887,867,711
33,2414,69,2816,914,894,733
34,2457,26,2816,939,918,757
35,2400,83,2816,965,944,780
36,2454,29,2816,992,971,802
37,2476,7,2816,1019,996,824
39,2443,40,2816,1047,1026,845
40,2406,77,2816,1074,1054,867
41,2337,146,2816,1099,1080,891
42,2457,26,2816,1125,1105,914
43,2348,135,2816,1152,1133,936
44,2454,29,2816,1180,1158,956
45,2440,43,2816,1206,1186,979
46,2480,3,2816,1232,1210,1002
47,2449,34,2816,1259,1238,1024
48,2483,0,2816,1285,1264,1047
49,2341,142,2816,1310,1291,1070
50,2469,14,2816,1337,1316,1091
51,2354,129,2816,1363,1344,1114
52,2430,53,2816,1393,1371,1133
53,2368,115,2816,1420,1400,1155
54,2414,69,2816,1448,1427,1176
55,2434,49,2816,1474,1454,1199
56,2407,76,2816,1500,1479,1222
57,2373,110,2816,1526,1506,1245
58,2374,109,2816,1551,1532,1269
59,2435,48,2816,1579,1558,1290
60,2428,55,2816,1605,1584,1312
61,2470,13,2816,1631,1610,1335
62,2427,56,2816,1657,1637,1358
63,2379,104,2816,1683,1663,1381
64,2416,67,2816,1709,1688,1404
65,2391,92,2816,1736,1715,1426
66,2358,125,2816,1764,1744,1447
67,2474,9,2816,1792,1771,1468
68,2481,2,2816,1818,1796,1491
69,2454,29,2816,1843,1822,1515
70,2370,113,2816,1871,1851,1535
71,2340,143,2816,1896,1877,1559
72,2390,93,2816,1924,1904,1580
73,2351,132,2816,1951,1931,1601
74,2379,104,2816,1977,1956,1623
75,2476,7,2816,2003,1983,1646
76,2352,131,2816,2028,2008,1669
77,2415,68,2816,2055,2035,1691
78,2362,121,2816,2082,2062,1713
79,2325,158,2816,2108,2089,1736
80,2437,46,2816,2137,2116,1756
81,2367,116,2816,2164,2145,1778
82,2464,19,2816,2192,2171,1799
83,2385,98,2816,2218,2198,1822
84,2441,42,2816,2245,2224,1844
85,2369,114,2816,2270,2250,1868
86,2416,67,2816,2297,2276,1890
87,2362,121,2816,2324,2304,1912
88,2475,8,2816,2353,2331,1932
89,2402,81,2816,2380,2359,1954
90,2304,179,2816,2406,2388,1976
91,2415,68,2816,2436,2416,1995
92,2415,68,2816,2462,2442,2018
93,2409,74,2816,2488,2468,2040
94,2474,9,2816,2516,2495,2061
95,2452,31,2816,2542,2521,2084
96,2349,134,2816,2567,2548,2108
97,2473,10,2816,2596,2575,2128
98,2352,131,2816,2622,2603,2151
99,2415,68,2816,2649,2627,2172
100,2398,85,2816,2675,2655,2195
101,2440,43,2816,2701,2681,2218
102,2405,78,2816,2729,2709,2239
103,2426,57,2816,2756,2735,2260
104,2328,155,2816,2782,2763,2283
105,2446,37,2816,2808,2788,2306
106,2423,60,2816,2836,2816,2327
107,2338,145,2816,2862,2843,2350
108,2304,179,2816,2889,2871,2372
109,2469,14,2816,2916,2895,2394
110,2343,140,2816,2940,2921,2419
111,2323,160,2816,2968,2949,2440
112,2427,56,2816,2997,2976,2460
113,2363,120,2816,3023,3003,2483
114,2434,49,2816,3051,3030,2503
115,2459,24,2816,3076,3056,2527
116,2350,133,2816,3101,3081,2551
117,2407,76,2816,3127,3106,2573
118,2441,42,2816,3154,3134,2594
119,2449,34,2816,3182,3161,2615
120,2327,154,2816,3207,3188,2636
121,2402,79,2816,3235,3216,2657
123,2445,36,2816,3261,3241,2680
124,2445,36,2816,3288,3268,2701
125,2375,106,2816,3314,3294,2724
126,2372,109,2816,3341,3321,2746
127,2337,146,2816,3366,3347,2769
128,2445,38,2816,3394,3373,2789
129,2453,30,2816,3423,3400,2809
130,2473,10,2816,3450,3429,2831
131,2436,47,2816,3475,3455,2855
132,2258,130,2816,3501,3482,2877
133,2302,70,2816,3529,3508,2897
134,2268,104,2816,3554,3535,2921
135,2271,101,2816,3581,3561,2943
136,2327,45,2816,3607,3588,2966
137,2326,46,2816,3636,3617,2986
138,2401,82,2816,3664,3643,3005
139,2348,135,2816,3693,3672,3023
140,2457,26,2816,3721,3700,3044
141,2383,100,2816,3750,3730,3063
142,2376,107,2816,3780,3760,3081
143,2427,56,2816,3807,3784,3103
144,2354,129,2816,3832,3811,3127
145,2380,103,2816,3863,3841,3145
146,2355,128,2816,3889,3869,3168
147,2343,140,2816,3918,3898,3188
148,2409,74,2816,3950,3928,3205
149,2437,46,2816,3980,3957,3223
150,2436,47,2816,4008,3986,3244
151,2412,71,2816,4037,4013,3264
152,2450,33,2816,4065,4043,3285
153,2412,71,2816,4094,4073,3305
154,2422,61,2816,4122,4101,3325
155,2393,90,2816,4152,4130,3344
156,2391,92,2816,4180,4159,3365
157,2466,17,2816,4207,4185,3386
158,2408,75,2816,4235,4215,3407
159,2339,144,2816,4264,4243,3427
160,2461,22,2816,4293,4269,3447
161,2416,67,2816,4322,4300,3467
162,2471,12,2816,4353,4330,3485
163,2457,26,2816,4379,4357,3508
164,2479,4,2816,4407,4384,3529
165,2393,90,2816,4433,4413,3551
166,2411,72,2816,4462,4440,3570
167,2330,153,2816,4489,4468,3591
168,2360,123,2816,4517,4498,3612
169,2423,60,2816,4545,4523,3633
170,2331,152,2816,4573,4554,3654
171,2378,105,2816,4602,4579,3674
172,2410,73,2816,4629,4607,3696
173,2391,92,2816,4657,4634,3716
174,2414,69,2816,4685,4663,3737
175,2316,167,2816,4709,4690,3762
176,2389,94,2816,4738,4718,3782
177,2425,58,2816,4768,4747,3801
178,2329,154,2816,4794,4775,3823
179,2348,135,2816,4823,4803,3843
180,2382,101,2816,4852,4831,3863
181,2437,46,2816,4883,4859,3881
182,2418,65,2816,4911,4887,3902
183,2379,104,2816,4936,4915,3926
184,2371,112,2816,4963,4943,3947
185,2404,79,2816,4991,4970,3968
186,2423,60,2816,5018,4995,3990
187,2325,158,2816,5043,5023,4014
188,2404,79,2816,5072,5049,4034
189,2355,128,2816,5099,5078,4056
190,2359,124,2816,5127,5104,4077
191,2373,110,2816,5156,5133,4097
192,2365,118,2816,5184,5163,4118
193,2318,165,2816,5214,5194,4136
194,2345,138,2816,5241,5220,4158
195,2345,138,2816,5269,5247,4179
196,2475,8,2816,5298,5274,4199
197,2434,49,2816,5326,5303,4219
198,2350,133,2816,5353,5334,4241
199,2401,82,2816,5383,5360,4260
200,2362,121,2816,5407,5387,4284
202,2378,105,2816,5434,5414,4306
203,2322,161,2816,5464,5442,4325
204,2321,162,2816,5492,5470,4345
205,2398,85,2816,5519,5497,4367
206,2313,170,2816,5547,5525,4388
207,2414,69,2816,5573,5553,4410
208,2472,11,2816,5602,5578,4430
209,2393,90,2816,5630,5609,4451
210,2341,142,2816,5660,5640,4470
211,2355,128,2816,5689,5669,4490
212,2434,49,2816,5717,5695,4511
213,2336,147,2816,5744,5722,4533
214,2354,129,2816,5772,5750,4554
215,2324,159,2816,5798,5777,4577
216,2448,35,2816,5828,5804,4596
217,2431,52,2816,5854,5833,4619
218,2409,74,2816,5883,5859,4639
219,2477,6,2816,5914,5889,4657
220,2422,61,2816,5942,5919,4677
221,2304,179,2816,5966,5946,4701
222,2411,72,2816,5993,5972,4723
223,2397,86,2816,6022,5999,4743
224,2441,42,2816,6049,6025,4765
225,2447,36,2816,6078,6055,4785
226,2401,82,2816,6107,6085,4805
227,2393,90,2816,6134,6114,4827
228,2436,47,2816,6165,6142,4845
229,2426,57,2816,6192,6171,4867
230,2350,133,2816,6218,6198,4890
231,2341,142,2816,6247,6225,4909
232,2373,110,2816,6274,6253,4931
233,2431,52,2816,6302,6279,4952
234,2377,106,2816,6329,6307,4974
235,2431,52,2816,6358,6336,4994
236,2483,0,2816,6388,6364,5012
237,2448,35,2816,6415,6394,5034
238,2411,72,2816,6444,6420,5053
239,2329,154,2816,6473,6452,5073
240,2428,55,2816,6501,6478,5094
241,2380,103,2816,6528,6506,5116
242,2345,138,2816,6557,6537,5135
243,2310,173,2816,6587,6566,5154
244,2323,160,2816,6617,6596,5173
245,2460,23,2816,6644,6622,5195
246,2481,2,2816,6670,6647,5218
247,2432,51,2816,6697,6674,5240
248,2436,47,2816,6723,6702,5263
249,2301,182,2816,6751,6731,5283
250,2436,47,2816,6779,6755,5304
251,2358,125,2816,6807,6788,5325
252,2430,53,2816,6837,6814,5344
253,2446,37,2816,6865,6845,5365
254,2375,108,2816,6895,6876,5384
255,2350,133,2816,6925,6905,5403
256,2407,76,2816,6954,6933,5423
257,2374,109,2816,6981,6961,5445
258,2466,17,2816,7010,6987,5465
259,2378,105,2816,7037,7016,5487
260,2423,60,2816,7063,7042,5505
261,2453,30,2816,7091,7068,5523
262,2327,156,2816,7118,7096,5545
263,2404,79,2816,7145,7123,5567
264,2382,101,2816,7176,7154,5585
265,2451,32,2816,7205,7183,5605
266,2357,126,2816,7231,7211,5628
267,2297,186,2816,7259,7240,5649
268,2305,178,2816,7288,7268,5669
269,2384,99,2816,7316,7293,5690
270,2440,43,2816,7344,7321,5711
271,2352,131,2816,7373,7351,5731
272,2384,99,2816,7399,7376,5753
273,2472,11,2816,7426,7403,5775
274,2342,141,2816,7452,7431,5797
275,2387,96,2816,7481,7459,5817
276,2374,109,2816,7509,7487,5837
277,2399,84,2816,7538,7515,5857
278,2463,20,2816,7565,7541,5879
279,2469,14,2816,7592,7567,5901
281,2365,118,2816,7617,7594,5925
282,2398,85,2816,7644,7623,5947
283,2468,15,2816,7674,7651,5965
284,2364,119,2816,7702,7679,5986
285,2426,57,2816,7729,7707,6007
286,2429,54,2816,7756,7734,6028
287,2410,73,2816,7785,7765,6048
288,2386,97,2816,7814,7793,6068
289,2394,89,2816,7843,7822,6087
290,2375,108,2816,7872,7852,6107
291,2457,26,2816,7902,7879,6126
292,2462,21,2816,7932,7909,6145
293,2383,100,2816,7958,7939,6168
294,2385,98,2816,7989,7968,6186
295,2320,163,2816,8017,7996,6207
296,2375,108,2816,8045,8023,6228
297,2400,83,2816,8072,8049,6250
298,2435,48,2816,8100,8076,6270
299,2289,194,2816,8126,8106,6292
300,2394,89,2816,8155,8134,6312
301,2340,143,2816,8184,8163,6332
302,2367,116,2816,8212,8189,6353
