# SPDX-License-Identifier: MIT
# the load's own log: t,held_mib,free_mib,total_mib,allocs,frees,fails (guest-side view) -- reservation policy, 2026-08-21.
vrampress: start free 2481 MiB of 2816 MiB, mode max, chunk 128 MiB, churn 64 MiB, 600 s
vrampress: refused at 2432 MiB held after 19 allocations (CUresult 2)
vrampress: grown to 2432 MiB held, 49 MiB free of 2816 MiB
t,held_mib,free_mib,total_mib,allocs,frees,fails
0,2304,177,2816,19,1,2
1,2397,84,2816,49,28,21
2,2418,63,2816,78,57,41
3,2341,140,2816,103,84,65
4,2400,81,2816,131,111,87
5,2456,25,2816,160,139,108
6,2478,3,2816,188,167,129
7,2456,25,2816,215,194,151
8,2344,137,2816,240,220,176
9,2480,1,2816,267,244,198
10,2360,121,2816,291,272,223
11,2323,158,2816,317,298,246
12,2454,27,2816,345,323,268
13,2423,58,2816,372,350,291
14,2338,143,2816,397,378,316
15,2371,110,2816,424,404,339
16,2474,7,2816,454,432,359
17,2435,46,2816,480,460,383
18,2372,109,2816,507,487,406
19,2362,119,2816,532,512,430
20,2461,20,2816,560,539,451
21,2431,50,2816,587,567,473
22,2343,138,2816,613,594,496
23,2350,131,2816,639,620,519
24,2365,116,2816,665,645,539
25,2478,3,2816,693,672,560
26,2464,17,2816,719,698,583
27,2380,92,2816,744,725,606
28,2374,101,2816,769,749,629
29,2347,128,2816,796,777,651
30,2396,79,2816,823,803,672
31,2354,121,2816,850,830,694
32,2378,97,2816,877,856,716
33,2359,116,2816,905,886,736
34,2414,61,2816,931,911,758
35,2457,18,2816,956,935,782
36,2401,74,2816,983,962,804
37,2374,101,2816,1009,989,827
38,2445,30,2816,1035,1014,850
39,2344,131,2816,1061,1042,872
40,2388,87,2816,1088,1068,894
41,2441,34,2816,1114,1093,917
42,2384,91,2816,1139,1118,941
43,2346,129,2816,1167,1147,962
44,2424,51,2816,1194,1174,984
45,2345,130,2816,1221,1202,1006
47,2350,125,2816,1246,1227,1030
48,2337,138,2816,1271,1252,1054
49,2353,122,2816,1298,1278,1076
50,2388,87,2816,1325,1305,1098
51,2462,13,2816,1352,1330,1120
52,2352,123,2816,1377,1358,1143
53,2360,115,2816,1402,1383,1167
54,2432,43,2816,1432,1410,1186
55,2429,46,2816,1458,1437,1208
56,2456,19,2816,1484,1464,1231
57,2414,61,2816,1509,1489,1255
58,2396,79,2816,1534,1515,1278
59,2382,93,2816,1560,1540,1301
60,2374,101,2816,1585,1566,1325
61,2394,81,2816,1612,1591,1347
62,2441,34,2816,1638,1617,1369
63,2444,31,2816,1665,1643,1390
64,2357,118,2816,1690,1670,1414
65,2371,104,2816,1716,1696,1437
66,2413,62,2816,1742,1721,1460
67,2328,147,2816,1767,1748,1484
68,2364,111,2816,1795,1775,1505
69,2432,43,2816,1823,1803,1526
70,2356,119,2816,1849,1830,1549
71,2350,125,2816,1874,1855,1573
72,2409,66,2816,1901,1880,1594
73,2463,12,2816,1929,1908,1615
74,2378,97,2816,1953,1932,1639
75,2464,11,2816,1979,1958,1662
76,2398,77,2816,2005,1985,1685
77,2363,112,2816,2031,2011,1708
78,2411,64,2816,2058,2038,1730
79,2352,123,2816,2083,2063,1754
80,2455,20,2816,2110,2089,1776
81,2461,14,2816,2136,2115,1799
82,2351,124,2816,2161,2141,1823
83,2385,90,2816,2188,2168,1845
84,2438,37,2816,2215,2192,1867
85,2470,5,2816,2240,2220,1891
86,2425,50,2816,2267,2247,1913
87,2461,14,2816,2293,2273,1936
88,2395,80,2816,2319,2299,1959
89,2366,109,2816,2345,2325,1982
90,2447,28,2816,2372,2351,2004
91,2374,101,2816,2400,2379,2025
92,2368,107,2816,2427,2407,2047
93,2379,96,2816,2454,2435,2069
94,2329,146,2816,2483,2464,2089
95,2453,22,2816,2512,2492,2109
96,2365,110,2816,2538,2517,2132
97,2425,50,2816,2564,2543,2155
98,2404,71,2816,2591,2570,2177
99,2407,68,2816,2617,2597,2199
100,2341,134,2816,2644,2625,2221
101,2399,76,2816,2670,2650,2243
102,2304,171,2816,2696,2678,2265
103,2325,150,2816,2723,2704,2286
104,2432,43,2816,2750,2729,2308
105,2386,89,2816,2776,2757,2331
106,2436,39,2816,2803,2783,2353
107,2397,78,2816,2829,2809,2376
108,2430,45,2816,2856,2835,2398
109,2356,119,2816,2882,2863,2421
110,2352,123,2816,2908,2889,2444
111,2376,99,2816,2933,2914,2468
112,2374,101,2816,2960,2940,2490
113,2447,28,2816,2988,2966,2511
114,2382,93,2816,3016,2996,2532
115,2411,64,2816,3042,3021,2554
116,2389,86,2816,3067,3047,2578
117,2465,10,2816,3095,3073,2599
118,2444,31,2816,3122,3101,2621
119,2444,31,2816,3147,3126,2645
120,2450,25,2816,3172,3151,2667
121,2375,100,2816,3198,3179,2690
122,2409,66,2816,3225,3206,2711
123,2403,72,2816,3251,3231,2733
124,2414,61,2816,3280,3259,2753
125,2361,114,2816,3307,3287,2775
126,2343,132,2816,3333,3314,2798
127,2331,142,2816,3357,3338,2820
128,2392,81,2816,3384,3364,2842
129,2304,169,2816,3409,3391,2865
130,2464,9,2816,3436,3416,2887
131,2416,57,2816,3462,3441,2908
132,2449,26,2816,3489,3468,2930
133,2435,40,2816,3514,3494,2954
135,2304,171,2816,3540,3522,2977
136,2304,171,2816,3567,3549,2999
137,2426,49,2816,3595,3573,3020
138,2449,26,2816,3620,3599,3042
139,2441,32,2816,3645,3623,3065
140,2385,88,2816,3670,3649,3089
141,2452,21,2816,3698,3677,3110
142,2451,22,2816,3724,3703,3132
143,2324,149,2816,3749,3730,3156
144,2361,114,2816,3774,3755,3180
145,2397,78,2816,3802,3781,3201
146,2402,73,2816,3828,3808,3224
147,2361,114,2816,3855,3835,3246
148,2363,112,2816,3882,3861,3268
149,2381,94,2816,3908,3889,3291
150,2378,97,2816,3934,3914,3314
151,2427,48,2816,3963,3942,3334
152,2436,39,2816,3991,3970,3355
153,2378,97,2816,4018,3998,3376
154,2395,80,2816,4047,4027,3396
155,2388,87,2816,4075,4054,3416
156,2377,98,2816,4102,4081,3438
157,2444,31,2816,4129,4108,3460
158,2398,77,2816,4155,4135,3483
159,2360,115,2816,4180,4161,3507
160,2366,109,2816,4206,4186,3529
161,2432,43,2816,4233,4212,3551
162,2355,120,2816,4260,4241,3573
163,2473,2,2816,4289,4268,3593
