# SPDX-License-Identifier: MIT
# the load's own log: t,held_mib,free_mib,total_mib,allocs,frees,fails (guest-side view) -- n4-grid policy, 2026-08-21.
vrampress: start free 1187 MiB of 1280 MiB, mode max, chunk 128 MiB, churn 64 MiB, 120 s
vrampress: refused at 1152 MiB held after 9 allocations (CUresult 2)
vrampress: grown to 1152 MiB held, 35 MiB free of 1280 MiB
t,held_mib,free_mib,total_mib,allocs,frees,fails
0,1024,163,1280,9,1,2
1,1024,163,1280,34,26,26
2,1133,54,1280,62,51,48
3,1164,23,1280,87,76,73
4,1042,145,1280,113,104,96
5,1040,147,1280,140,131,119
6,1131,56,1280,167,157,142
7,1128,59,1280,194,183,165
8,1056,131,1280,220,211,189
9,1084,103,1280,247,237,211
10,1127,60,1280,274,263,234
11,1187,0,1280,299,289,258
12,1145,42,1280,324,314,283
13,1084,103,1280,350,340,306
14,1147,40,1280,376,366,329
15,1055,132,1280,401,392,353
16,1130,57,1280,428,418,376
17,1024,163,1280,453,445,400
18,1109,78,1280,480,469,422
19,1168,19,1280,506,496,445
20,1108,79,1280,531,521,469
21,1118,69,1280,556,547,493
22,1053,134,1280,583,574,515
23,1125,62,1280,610,601,537
24,1055,132,1280,635,626,561
25,1165,22,1280,660,650,584
26,1024,163,1280,685,677,608
27,1160,27,1280,712,700,630
28,1115,72,1280,738,727,653
29,1171,16,1280,764,753,676
30,1165,22,1280,789,778,700
31,1114,73,1280,816,806,722
32,1059,128,1280,841,832,746
33,1134,53,1280,868,858,768
34,1096,91,1280,896,886,789
35,1040,147,1280,922,913,812
36,1108,79,1280,948,938,835
37,1126,61,1280,973,963,859
38,1072,115,1280,999,989,882
39,1081,106,1280,1026,1016,904
40,1098,89,1280,1051,1042,928
41,1187,0,1280,1078,1067,950
42,1085,102,1280,1106,1096,971
43,1124,63,1280,1132,1122,994
44,1124,63,1280,1157,1146,1018
45,1075,112,1280,1183,1173,1041
46,1171,16,1280,1209,1199,1064
47,1111,76,1280,1237,1226,1086
48,1041,146,1280,1262,1253,1110
49,1152,35,1280,1288,1277,1133
50,1091,96,1280,1314,1304,1156
51,1024,163,1280,1339,1331,1180
52,1174,13,1280,1366,1353,1202
53,1180,7,1280,1393,1383,1224
54,1072,115,1280,1417,1408,1249
55,1075,112,1280,1444,1434,1271
56,1024,163,1280,1469,1461,1295
57,1182,5,1280,1497,1487,1316
58,1122,65,1280,1523,1513,1339
59,1125,62,1280,1548,1537,1362
61,1083,104,1280,1574,1564,1385
62,1146,41,1280,1601,1591,1408
63,1065,122,1280,1627,1618,1432
64,1139,48,1280,1654,1643,1455
65,1058,129,1280,1679,1670,1479
66,1117,70,1280,1705,1696,1502
67,1103,84,1280,1732,1721,1525
68,1024,163,1280,1756,1748,1550
69,1097,90,1280,1783,1772,1572
70,1166,21,1280,1810,1799,1594
71,1140,47,1280,1838,1827,1616
72,1062,125,1280,1864,1854,1639
73,1146,41,1280,1892,1882,1660
74,1165,22,1280,1917,1907,1684
75,1140,47,1280,1945,1934,1705
76,1060,127,1280,1972,1963,1727
77,1150,37,1280,1998,1987,1750
78,1107,80,1280,2024,2013,1773
79,1064,123,1280,2050,2041,1796
80,1121,66,1280,2076,2065,1819
81,1024,163,1280,2100,2092,1844
82,1147,40,1280,2127,2116,1866
83,1141,46,1280,2152,2143,1890
84,1174,13,1280,2179,2168,1912
85,1090,97,1280,2206,2196,1934
86,1090,97,1280,2233,2223,1957
87,1186,1,1280,2262,2248,1978
88,1117,70,1280,2288,2277,2001
89,1187,0,1280,2313,2303,2025
90,1024,163,1280,2338,2330,2049
91,1182,5,1280,2365,2354,2071
92,1139,48,1280,2391,2381,2094
93,1075,112,1280,2416,2406,2118
94,1081,106,1280,2442,2432,2140
95,1106,81,1280,2471,2460,2160
96,1110,77,1280,2497,2487,2183
97,1114,73,1280,2523,2514,2206
98,1180,7,1280,2550,2540,2229
99,1072,115,1280,2578,2569,2250
100,1128,59,1280,2604,2594,2273
101,1105,82,1280,2630,2620,2296
102,1086,101,1280,2656,2646,2319
103,1181,6,1280,2683,2672,2341
104,1107,80,1280,2709,2699,2364
105,1137,50,1280,2737,2725,2385
106,1183,4,1280,2765,2755,2406
107,1113,74,1280,2791,2782,2429
108,1142,45,1280,2819,2809,2450
109,1135,52,1280,2845,2834,2474
110,1024,163,1280,2870,2862,2498
111,1185,2,1280,2898,2887,2520
112,1073,114,1280,2924,2914,2543
113,1024,163,1280,2950,2942,2566
114,1051,136,1280,2977,2968,2589
115,1024,163,1280,3002,2994,2613
116,1067,120,1280,3029,3019,2635
117,1078,109,1280,3055,3046,2658
118,1118,69,1280,3083,3073,2679
119,1102,85,1280,3111,3101,2700
120,1065,122,1280,3138,3129,2722
vrampress: done -- 3140 allocations, 3140 frees, 2724 refusals, free now 1187 MiB of 1280 MiB, recovery ok
