# SPDX-License-Identifier: MIT
# the load's own log: t,held_mib,free_mib,total_mib,allocs,frees,fails (guest-side view) -- n4-limit policy, 2026-08-21.
vrampress: start free 1187 MiB of 1280 MiB, mode max, chunk 128 MiB, churn 64 MiB, 120 s
vrampress: refused at 1152 MiB held after 9 allocations (CUresult 2)
vrampress: grown to 1152 MiB held, 35 MiB free of 1280 MiB
t,held_mib,free_mib,total_mib,allocs,frees,fails
0,1024,163,1280,9,1,2
1,1024,163,1280,34,26,26
2,1149,38,1280,62,50,47
3,1058,129,1280,85,76,73
4,1095,92,1280,113,103,95
5,1024,163,1280,139,131,119
6,1024,163,1280,165,157,142
7,1149,38,1280,193,181,163
8,1099,88,1280,219,209,187
9,1129,58,1280,246,235,209
10,1104,83,1280,271,261,233
11,1069,118,1280,297,288,257
12,1024,163,1280,321,313,282
13,1084,103,1280,348,338,304
14,1123,64,1280,374,364,327
15,1089,98,1280,400,390,351
16,1166,21,1280,426,415,374
17,1167,20,1280,452,442,397
18,1040,147,1280,477,468,421
19,1100,87,1280,503,493,444
20,1129,58,1280,529,519,467
21,1150,37,1280,554,545,491
22,1067,120,1280,580,571,514
23,1078,109,1280,607,597,536
24,1151,36,1280,634,622,558
25,1045,142,1280,658,649,583
26,1116,71,1280,684,674,606
27,1174,13,1280,710,699,629
28,1057,130,1280,736,726,652
29,1160,27,1280,762,751,675
30,1112,75,1280,787,776,699
31,1123,64,1280,814,804,721
32,1120,67,1280,840,830,744
33,1063,124,1280,866,857,767
34,1184,3,1280,895,883,787
35,1143,44,1280,921,910,810
36,1050,137,1280,946,937,834
37,1165,22,1280,972,961,857
38,1040,147,1280,997,988,881
39,1157,30,1280,1025,1014,902
40,1162,25,1280,1050,1040,926
41,1123,64,1280,1076,1065,949
42,1083,104,1280,1104,1094,970
43,1086,101,1280,1130,1121,993
45,1024,163,1280,1154,1146,1018
46,1075,112,1280,1182,1172,1040
47,1152,35,1280,1208,1198,1063
48,1123,64,1280,1235,1224,1085
49,1121,66,1280,1261,1251,1108
50,1129,58,1280,1286,1276,1132
51,1126,61,1280,1313,1302,1154
52,1127,60,1280,1338,1328,1178
53,1150,37,1280,1364,1352,1201
54,1184,3,1280,1392,1381,1222
55,1180,7,1280,1416,1406,1247
56,1121,66,1280,1443,1432,1269
57,1147,40,1280,1468,1459,1293
58,1161,26,1280,1496,1485,1314
59,1108,79,1280,1522,1511,1337
60,1165,22,1280,1547,1536,1361
61,1174,13,1280,1573,1563,1384
62,1090,97,1280,1599,1590,1407
63,1103,84,1280,1625,1615,1430
64,1097,90,1280,1651,1641,1453
65,1080,107,1280,1677,1667,1476
66,1061,126,1280,1702,1693,1500
67,1139,48,1280,1729,1718,1522
68,1024,163,1280,1753,1745,1547
69,1065,122,1280,1779,1770,1570
70,1043,144,1280,1806,1797,1592
71,1105,82,1280,1833,1823,1614
72,1187,0,1280,1862,1848,1634
73,1095,92,1280,1888,1878,1657
74,1110,77,1280,1913,1904,1681
75,1079,108,1280,1940,1930,1703
76,1147,40,1280,1969,1958,1723
77,1114,73,1280,1994,1984,1747
78,1081,106,1280,2020,2010,1770
79,1130,57,1280,2047,2037,1792
80,1100,87,1280,2072,2062,1816
81,1147,40,1280,2098,2087,1839
82,1160,27,1280,2123,2113,1863
83,1047,140,1280,2148,2139,1887
84,1148,39,1280,2175,2164,1909
85,1138,49,1280,2202,2191,1930
86,1061,126,1280,2228,2219,1953
87,1096,91,1280,2255,2245,1975
88,1121,66,1280,2281,2271,1998
89,1024,163,1280,2307,2299,2021
90,1060,127,1280,2333,2324,2044
91,1169,18,1280,2359,2349,2067
92,1024,163,1280,2385,2377,2090
93,1091,96,1280,2411,2401,2113
94,1100,87,1280,2438,2427,2135
95,1129,58,1280,2465,2455,2157
96,1024,163,1280,2491,2483,2180
97,1041,146,1280,2518,2509,2202
98,1087,100,1280,2544,2534,2225
99,1128,59,1280,2573,2563,2245
100,1083,104,1280,2598,2589,2269
101,1126,61,1280,2625,2615,2291
102,1100,87,1280,2651,2641,2315
103,1166,21,1280,2678,2668,2337
104,1069,118,1280,2704,2695,2360
105,1059,128,1280,2731,2722,2382
106,1149,38,1280,2760,2749,2402
107,1182,5,1280,2787,2777,2424
108,1131,56,1280,2814,2805,2446
109,1152,35,1280,2840,2829,2469
110,1162,25,1280,2866,2856,2492
111,1156,31,1280,2892,2882,2516
112,1098,89,1280,2918,2908,2539
113,1142,45,1280,2945,2935,2561
114,1173,14,1280,2972,2962,2583
115,1183,4,1280,2998,2987,2606
116,1078,109,1280,3023,3013,2630
117,1161,26,1280,3050,3040,2652
118,1125,62,1280,3077,3066,2674
119,1160,27,1280,3105,3094,2695
120,1062,125,1280,3132,3123,2717
vrampress: done -- 3133 allocations, 3133 frees, 2718 refusals, free now 1187 MiB of 1280 MiB, recovery ok
