# SPDX-License-Identifier: MIT
# the load's own log: t,held_mib,free_mib,total_mib,allocs,frees,fails (guest-side view) -- uncapped policy, 2026-08-21.
vrampress: start free 4220 MiB of 7771 MiB, mode max, chunk 128 MiB, churn 64 MiB, 120 s
vrampress: refused at 1920 MiB held after 15 allocations (CUresult 2)
vrampress: grown to 1920 MiB held, 430 MiB free of 7771 MiB
t,held_mib,free_mib,total_mib,allocs,frees,fails
0,1976,318,7771,16,0,1
1,2112,410,7771,44,26,22
2,2129,462,7771,74,56,41
3,2265,353,7771,103,81,61
4,1990,323,7771,129,111,84
5,2108,452,7771,158,140,104
6,2078,478,7771,190,169,121
7,2099,400,7771,218,196,142
8,2132,354,7771,247,226,162
9,1966,490,7771,272,254,186
10,1892,439,7771,297,280,210
11,2053,393,7771,329,309,227
12,1747,381,7771,354,340,251
13,1908,396,7771,388,370,266
14,1809,426,7771,420,403,283
15,1861,330,7771,453,435,299
16,2027,324,7771,488,469,313
17,1991,492,7771,522,502,328
18,1996,406,7771,556,536,342
19,1913,373,7771,589,571,358
20,2017,418,7771,622,602,373
21,2023,394,7771,658,638,385
22,1964,408,7771,689,670,403
23,1968,407,7771,724,705,416
24,1990,420,7771,761,741,427
25,1970,532,7771,797,777,439
26,1906,382,7771,833,815,451
27,2052,318,7771,869,849,464
28,2062,411,7771,905,885,476
29,1983,387,7771,934,916,495
30,2019,394,7771,966,946,511
31,2140,362,7771,998,978,527
32,2014,344,7771,1026,1007,548
33,1770,375,7771,1065,1047,557
34,1942,370,7771,1099,1081,572
35,1843,435,7771,1135,1116,584
36,2066,404,7771,1169,1149,598
37,1774,442,7771,1208,1191,607
38,1987,340,7771,1241,1223,622
39,1958,473,7771,1280,1261,631
40,2040,441,7771,1313,1293,646
41,1908,419,7771,1352,1333,655
42,1838,419,7771,1378,1362,677
43,1934,332,7771,1416,1397,688
44,2026,443,7771,1449,1432,703
45,2056,357,7771,1484,1464,715
46,2012,514,7771,1519,1500,729
48,1984,392,7771,1551,1532,746
49,1931,394,7771,1586,1568,760
50,1861,444,7771,1625,1607,770
51,1919,423,7771,1665,1646,779
52,1753,407,7771,1698,1682,795
53,2068,414,7771,1735,1717,806
54,2161,366,7771,1772,1753,818
55,2192,387,7771,1803,1783,836
56,2155,443,7771,1836,1816,851
57,1910,425,7771,1868,1850,868
58,1838,522,7771,1907,1887,877
59,1996,370,7771,1942,1922,890
60,2017,475,7771,1980,1961,900
61,1945,489,7771,2015,1996,913
62,1905,359,7771,2048,2030,928
63,1902,525,7771,2084,2064,940
64,2060,343,7771,2122,2102,951
65,1912,481,7771,2152,2133,970
66,1959,421,7771,2193,2174,977
67,1874,417,7771,2234,2214,985
68,2015,512,7771,2271,2251,996
69,1928,470,7771,2303,2285,1012
70,2096,464,7771,2340,2320,1024
71,1846,395,7771,2371,2355,1041
72,1851,487,7771,2406,2388,1054
73,1995,348,7771,2442,2422,1066
74,1920,380,7771,2475,2456,1082
75,1972,460,7771,2513,2493,1092
76,2178,419,7771,2548,2528,1106
77,2101,440,7771,2585,2565,1118
78,2013,398,7771,2619,2599,1132
79,1904,354,7771,2655,2636,1145
80,1866,428,7771,2685,2667,1164
81,1954,515,7771,2721,2702,1177
82,1765,526,7771,2758,2741,1188
83,2018,442,7771,2793,2774,1202
84,1934,446,7771,2828,2809,1215
85,1907,395,7771,2864,2844,1227
86,1927,447,7771,2899,2881,1240
87,1860,326,7771,2933,2917,1254
88,1913,506,7771,2963,2946,1272
89,1895,368,7771,3000,2983,1284
90,2077,380,7771,3041,3021,1292
91,1968,487,7771,3070,3051,1312
92,1947,431,7771,3106,3086,1325
93,2086,351,7771,3143,3123,1337
94,1895,527,7771,3179,3161,1349
95,1885,394,7771,3217,3199,1360
96,1687,466,7771,3246,3231,1379
97,1817,540,7771,3278,3261,1395
98,1951,494,7771,3314,3295,1407
99,2000,412,7771,3350,3332,1420
100,1800,454,7771,3384,3367,1435
101,2051,337,7771,3413,3393,1454
102,2030,488,7771,3447,3427,1468
103,1966,420,7771,3482,3464,1481
104,2072,419,7771,3514,3495,1497
105,1780,527,7771,3546,3530,1514
106,1889,480,7771,3580,3562,1528
107,2131,344,7771,3614,3594,1543
108,1944,342,7771,3646,3628,1559
109,1840,382,7771,3684,3664,1569
110,2022,462,7771,3719,3700,1583
111,1906,406,7771,3750,3734,1601
112,1758,483,7771,3790,3773,1609
113,1992,327,7771,3821,3803,1627
114,1839,374,7771,3853,3834,1644
115,1882,383,7771,3890,3873,1655
116,1931,488,7771,3927,3908,1667
117,2066,396,7771,3960,3941,1683
118,1875,388,7771,3994,3977,1697
119,1946,491,7771,4031,4011,1708
vrampress: done -- 4054 allocations, 4054 frees, 1719 refusals, free now 6149 MiB of 7771 MiB, recovery ok
