# SPDX-License-Identifier: MIT
# the load's own log: t,held_mib,free_mib,total_mib,allocs,frees,fails (guest-side view) -- n4-profile policy, 2026-08-21.
vrampress: start free 1187 MiB of 1280 MiB, mode max, chunk 128 MiB, churn 64 MiB, 120 s
vrampress: refused at 1152 MiB held after 9 allocations (CUresult 2)
vrampress: grown to 1152 MiB held, 35 MiB free of 1280 MiB
t,held_mib,free_mib,total_mib,allocs,frees,fails
0,1024,163,1280,9,1,2
1,1024,163,1280,34,26,26
2,1133,54,1280,62,51,48
3,1137,50,1280,86,76,73
4,1095,92,1280,113,103,95
5,1100,87,1280,139,130,118
6,1024,163,1280,165,157,142
7,1128,59,1280,193,182,164
8,1099,88,1280,219,209,187
9,1129,58,1280,246,235,209
10,1104,83,1280,271,261,233
11,1024,163,1280,296,288,257
12,1077,110,1280,321,312,281
13,1114,73,1280,348,337,303
14,1067,120,1280,373,363,327
15,1153,34,1280,400,388,349
16,1134,53,1280,425,415,374
17,1129,58,1280,451,441,397
18,1128,59,1280,477,467,420
19,1140,47,1280,503,492,443
20,1041,146,1280,528,519,467
21,1169,18,1280,554,544,490
22,1109,78,1280,580,570,513
23,1129,58,1280,607,596,535
24,1132,55,1280,633,622,558
25,1122,65,1280,658,648,582
26,1135,52,1280,684,673,605
27,1067,120,1280,709,699,629
28,1040,147,1280,735,726,652
29,1092,95,1280,761,751,675
30,1175,12,1280,787,775,698
31,1183,4,1280,814,803,720
32,1155,32,1280,840,829,743
33,1024,163,1280,865,857,767
34,1099,88,1280,894,883,787
35,1143,44,1280,921,910,810
36,1050,137,1280,946,937,834
37,1165,22,1280,972,961,857
38,1040,147,1280,997,988,881
39,1081,106,1280,1025,1015,903
40,1024,163,1280,1050,1042,928
41,1115,72,1280,1077,1067,950
42,1165,22,1280,1106,1095,970
43,1124,63,1280,1132,1122,994
44,1094,93,1280,1157,1147,1019
45,1111,76,1280,1184,1173,1041
46,1106,81,1280,1209,1200,1065
47,1093,94,1280,1237,1227,1087
48,1160,27,1280,1263,1253,1110
49,1129,58,1280,1288,1278,1134
50,1163,24,1280,1316,1305,1156
51,1024,163,1280,1340,1332,1181
52,1132,55,1280,1367,1355,1204
53,1165,22,1280,1395,1384,1225
54,1117,70,1280,1419,1409,1250
55,1171,16,1280,1447,1435,1272
56,1066,121,1280,1472,1463,1297
57,1151,36,1280,1500,1490,1319
58,1184,3,1280,1527,1515,1341
59,1071,116,1280,1551,1541,1366
60,1080,107,1280,1578,1568,1388
61,1124,63,1280,1605,1594,1410
63,1065,122,1280,1630,1621,1435
64,1075,112,1280,1656,1647,1459
65,1118,69,1280,1683,1672,1481
66,1089,98,1280,1708,1699,1505
67,1064,123,1280,1734,1725,1528
68,1113,74,1280,1760,1749,1551
69,1081,106,1280,1785,1775,1575
70,1186,1,1280,1813,1801,1596
71,1134,53,1280,1840,1829,1618
72,1043,144,1280,1866,1857,1641
73,1132,55,1280,1894,1884,1662
74,1160,27,1280,1919,1909,1686
75,1073,114,1280,1947,1937,1708
76,1101,86,1280,1975,1965,1729
77,1110,77,1280,2000,1990,1753
78,1081,106,1280,2026,2016,1776
79,1105,82,1280,2053,2043,1798
80,1066,121,1280,2078,2068,1822
81,1141,46,1280,2104,2094,1846
82,1082,105,1280,2129,2120,1870
83,1024,163,1280,2154,2146,1893
84,1100,87,1280,2181,2172,1915
85,1113,74,1280,2209,2198,1935
86,1081,106,1280,2235,2225,1959
87,1157,30,1280,2263,2251,1980
88,1087,100,1280,2289,2279,2003
89,1024,163,1280,2314,2306,2028
90,1155,32,1280,2341,2331,2050
91,1128,59,1280,2367,2357,2074
92,1180,7,1280,2394,2383,2096
93,1122,65,1280,2420,2408,2120
94,1091,96,1280,2446,2436,2143
95,1159,28,1280,2474,2464,2164
96,1182,5,1280,2501,2490,2186
97,1139,48,1280,2527,2517,2209
98,1130,57,1280,2554,2544,2232
99,1124,63,1280,2582,2572,2253
100,1058,129,1280,2608,2598,2276
101,1166,21,1280,2635,2623,2299
102,1105,82,1280,2660,2650,2323
103,1094,93,1280,2687,2677,2345
104,1095,92,1280,2713,2703,2368
105,1110,77,1280,2742,2732,2388
106,1161,26,1280,2770,2759,2409
107,1087,100,1280,2796,2786,2432
108,1142,45,1280,2823,2813,2454
109,1140,47,1280,2848,2838,2478
110,1089,98,1280,2874,2865,2501
111,1119,68,1280,2901,2890,2523
112,1048,139,1280,2927,2918,2546
113,1166,21,1280,2954,2944,2568
114,1099,88,1280,2980,2970,2591
115,1093,94,1280,3005,2996,2615
116,1102,85,1280,3032,3021,2637
117,1175,12,1280,3058,3048,2660
118,1091,96,1280,3086,3076,2681
119,1103,84,1280,3114,3104,2702
120,1168,19,1280,3141,3131,2724
vrampress: done -- 3143 allocations, 3143 frees, 2725 refusals, free now 1187 MiB of 1280 MiB, recovery ok
