# SPDX-License-Identifier: MIT
# host sampler, 1 Hz, local time: ts,used_mib,free_mib,util,enc_sessions,enc_fps,desktop_mib,desktop2_mib -- n6-grid1q policy, 2026-08-21.
ts,used_mib,free_mib,util,ram_avail_mib,vm0,vm1,vm2,vm3,vm4,vm5,
22:12:58,886,6886,6,14872,0,0,0,0,0,0
22:12:59,3379,4394,5,14871,474,444,444,474,444,422
22:13:00,3441,4332,11,14894,478,478,478,478,478,408
22:13:01,3449,4324,17,14930,428,468,468,428,428,428
22:13:02,3645,4128,26,14937,460,422,422,460,422,506
22:13:03,3171,4602,23,14965,392,392,392,456,392,372
22:13:04,3659,4114,23,14982,426,426,448,426,426,476
22:13:05,3699,4074,21,15031,470,470,444,396,444,502
22:13:06,3381,4392,23,15063,480,480,480,380,480,380
22:13:07,3333,4440,25,15069,408,408,376,408,408,376
22:13:08,3506,4267,26,15089,398,398,372,398,372,474
22:13:10,3494,4279,24,15078,394,508,508,394,508,394
22:13:11,3488,4285,29,15095,470,406,406,460,460,460
22:13:12,3517,4255,24,15105,442,510,510,510,442,442
22:13:13,3533,4239,25,15108,372,452,452,452,452,474
22:13:14,3513,4260,21,15099,412,384,384,508,384,384
22:13:15,3616,4156,24,15115,454,426,482,482,482,426
22:13:16,3602,4171,24,15124,418,386,436,442,426,426
22:13:17,3282,4491,30,15132,382,382,446,382,400,400
22:13:18,3472,4301,29,15132,370,352,352,428,472,472
22:13:19,3366,4407,33,15195,474,500,500,388,388,504
22:13:20,3511,4261,26,15199,506,426,426,442,438,408
22:13:21,3688,4085,28,15181,458,458,458,404,516,490
22:13:22,3389,4383,36,15149,470,390,390,496,424,390
22:13:24,3397,4375,26,15168,446,480,480,446,374,446
22:13:25,3380,4392,31,15161,440,440,370,370,370,412
22:13:26,3694,4078,32,15175,424,454,454,424,518,424
22:13:27,3334,4439,27,15152,480,462,462,462,388,462
22:13:28,3526,4246,34,15142,380,460,460,460,422,502
22:13:29,3873,3899,30,15161,466,424,424,424,516,496
22:13:30,3291,4481,26,15168,396,502,396,396,396,502
22:13:31,3480,4292,21,15152,500,458,458,458,418,438
22:13:32,3661,4111,34,15187,434,448,448,448,474,484
22:13:33,3518,4254,34,15188,500,514,514,438,438,514
22:13:34,3646,4126,28,15191,492,486,486,452,510,452
22:13:35,3430,4342,34,15189,516,414,414,460,480,414
22:13:36,3278,4494,32,15190,392,446,446,470,352,392
22:13:38,3294,4479,32,15189,434,404,404,404,352,404
22:13:39,3320,4453,29,15186,516,402,402,462,402,470
22:13:40,3502,4271,33,15185,434,398,398,398,430,398
22:13:41,3518,4255,28,15181,446,492,492,496,412,446
22:13:42,3388,4385,28,15185,452,414,414,430,414,490
22:13:43,3310,4463,29,15186,456,454,454,458,424,454
22:13:44,3530,4243,34,15185,438,404,404,468,484,440
22:13:45,3296,4477,35,15192,422,424,424,398,490,378
22:13:46,3528,4245,26,15180,402,490,402,402,402,468
22:13:47,3526,4247,34,15182,508,514,514,420,420,478
22:13:48,3496,4277,32,15178,382,486,486,466,352,382
22:13:49,3548,4225,29,15178,448,352,352,424,492,468
22:13:50,3128,4645,32,15182,436,388,388,422,352,438
22:13:52,3604,4169,30,15193,512,462,462,494,470,394
22:13:53,3631,4142,26,15193,400,512,512,400,512,400
22:13:54,3471,4301,36,15183,478,408,408,436,514,436
22:13:55,3524,4249,31,15187,436,490,490,450,432,352
22:13:56,3657,4116,36,15182,492,468,468,492,410,504
22:13:57,3441,4332,34,15189,386,438,410,410,386,386
