# SPDX-License-Identifier: MIT
# the load's own log: t,held_mib,free_mib,total_mib,allocs,frees,fails (guest-side view) -- n6-grid1q policy, 2026-08-21.
vrampress: start free 419 MiB of 512 MiB, mode max, chunk 128 MiB, churn 64 MiB, 120 s
vrampress: refused at 384 MiB held after 3 allocations (CUresult 2)
vrampress: grown to 384 MiB held, 35 MiB free of 512 MiB
t,held_mib,free_mib,total_mib,allocs,frees,fails
0,256,163,512,3,1,2
1,256,163,512,28,26,26
2,365,54,512,56,51,48
3,369,50,512,80,76,73
4,327,92,512,107,103,95
5,332,87,512,133,130,118
6,379,40,512,159,156,141
7,360,59,512,186,181,163
8,380,39,512,212,208,186
9,329,90,512,238,234,209
10,336,83,512,264,260,232
11,325,94,512,290,286,255
12,309,110,512,314,311,280
13,346,73,512,341,336,302
14,391,28,512,366,362,326
15,321,98,512,392,388,349
16,292,127,512,417,414,373
17,276,143,512,443,440,396
18,272,147,512,469,466,419
19,332,87,512,495,491,442
20,317,102,512,521,517,465
21,324,95,512,546,543,489
22,405,14,512,573,568,511
23,339,80,512,599,595,534
24,352,67,512,625,621,557
25,277,142,512,650,647,581
26,388,31,512,676,672,604
27,360,59,512,703,697,627
28,365,54,512,729,725,651
29,412,7,512,755,750,674
30,344,75,512,780,775,698
31,355,64,512,807,803,720
32,352,67,512,833,829,743
33,325,94,512,859,856,766
34,303,116,512,887,883,787
35,323,96,512,914,909,809
36,282,137,512,939,936,833
37,277,142,512,964,961,857
38,272,147,512,990,987,880
39,389,30,512,1018,1013,901
40,394,25,512,1043,1039,925
41,363,56,512,1069,1064,948
42,398,21,512,1098,1092,968
43,318,101,512,1123,1120,992
44,382,37,512,1148,1144,1016
45,286,133,512,1174,1171,1039
46,375,44,512,1200,1196,1062
47,277,142,512,1226,1223,1085
48,273,146,512,1253,1250,1107
49,286,133,512,1278,1275,1131
50,323,96,512,1305,1301,1153
51,289,130,512,1330,1327,1177
52,292,127,512,1355,1352,1201
53,396,23,512,1384,1380,1221
54,304,115,512,1408,1405,1246
55,367,52,512,1434,1431,1269
56,256,163,512,1460,1458,1292
57,370,49,512,1488,1484,1313
58,289,130,512,1514,1511,1337
59,303,116,512,1540,1536,1361
60,284,135,512,1566,1563,1384
61,417,2,512,1593,1589,1406
62,335,84,512,1619,1615,1430
63,371,48,512,1646,1641,1453
64,379,40,512,1672,1667,1476
65,386,33,512,1697,1693,1500
66,317,102,512,1723,1719,1523
67,329,90,512,1748,1745,1547
68,297,122,512,1773,1770,1570
69,400,19,512,1800,1796,1591
70,279,140,512,1825,1822,1614
71,370,49,512,1854,1848,1634
72,327,92,512,1881,1877,1656
73,368,51,512,1906,1903,1680
74,365,54,512,1932,1928,1703
75,323,96,512,1961,1957,1723
76,392,27,512,1987,1983,1746
77,313,106,512,2013,2009,1769
78,406,13,512,2041,2036,1791
80,332,87,512,2066,2062,1816
81,337,82,512,2092,2088,1840
82,314,105,512,2117,2114,1864
83,340,79,512,2143,2139,1887
84,348,71,512,2169,2165,1910
85,370,49,512,2197,2192,1931
86,293,126,512,2223,2220,1954
87,328,91,512,2250,2246,1976
88,310,109,512,2276,2272,1999
89,256,163,512,2302,2300,2022
90,338,81,512,2329,2325,2044
91,387,32,512,2354,2350,2068
92,378,41,512,2381,2377,2090
93,307,112,512,2406,2402,2114
94,372,47,512,2433,2428,2136
95,310,109,512,2460,2456,2158
96,355,64,512,2487,2483,2180
97,273,146,512,2513,2510,2203
98,319,100,512,2539,2535,2226
99,340,79,512,2568,2565,2246
100,315,104,512,2593,2590,2270
101,344,75,512,2620,2616,2292
102,272,147,512,2645,2642,2316
103,334,85,512,2672,2669,2338
104,405,14,512,2699,2695,2360
105,410,9,512,2726,2722,2382
106,347,72,512,2754,2750,2403
107,328,91,512,2781,2778,2425
108,256,163,512,2808,2806,2447
109,346,73,512,2834,2830,2470
110,312,107,512,2860,2857,2493
111,388,31,512,2886,2882,2516
112,330,89,512,2912,2908,2539
113,374,45,512,2939,2935,2561
114,405,14,512,2966,2962,2583
115,415,4,512,2992,2987,2606
116,310,109,512,3017,3013,2630
117,393,26,512,3044,3040,2652
118,357,62,512,3071,3066,2674
119,392,27,512,3099,3094,2695
120,294,125,512,3126,3123,2717
vrampress: done -- 3132 allocations, 3132 frees, 2722 refusals, free now 419 MiB of 512 MiB, recovery ok
