# SPDX-License-Identifier: MIT
# the load's own log: t,held_mib,free_mib,total_mib,allocs,frees,fails (guest-side view) -- n8-off policy, 2026-08-21.
vrampress: start free 6558 MiB of 7771 MiB, mode max, chunk 128 MiB, churn 64 MiB, 120 s
vrampress: refused at 2176 MiB held after 17 allocations (CUresult 2)
vrampress: grown to 2176 MiB held, 344 MiB free of 7771 MiB
t,held_mib,free_mib,total_mib,allocs,frees,fails
0,2048,716,7771,17,1,2
1,1994,506,7771,44,26,23
2,2236,522,7771,76,55,40
3,2142,378,7771,101,83,63
4,2198,382,7771,130,108,82
5,2075,418,7771,168,148,93
6,2321,350,7771,199,177,110
7,2307,422,7771,227,205,131
8,2163,320,7771,257,235,149
9,2249,350,7771,286,265,169
10,2153,488,7771,316,297,188
11,2243,508,7771,347,325,205
12,1885,406,7771,373,356,227
13,2130,450,7771,402,383,247
14,2285,418,7771,429,408,268
15,1966,456,7771,456,438,290
16,2285,378,7771,487,466,308
17,2233,660,7771,516,495,327
18,2194,367,7771,545,525,346
19,2357,361,7771,579,557,360
20,2343,514,7771,606,584,380
21,2347,402,7771,634,613,400
22,2118,534,7771,668,648,413
23,1987,493,7771,702,682,427
24,1957,409,7771,729,710,448
25,2142,312,7771,759,739,465
26,1961,411,7771,790,773,481
27,2087,389,7771,824,804,494
28,2109,486,7771,855,835,511
29,2151,325,7771,886,866,528
30,2069,329,7771,914,894,547
31,1962,438,7771,942,924,567
32,2086,396,7771,974,955,583
33,2054,484,7771,1005,985,600
34,1956,437,7771,1034,1015,619
35,1947,390,7771,1066,1047,635
36,2070,527,7771,1099,1080,650
37,1923,386,7771,1129,1111,668
38,1772,364,7771,1162,1144,683
39,1921,364,7771,1191,1173,701
40,1956,328,7771,1224,1205,715
41,1959,571,7771,1253,1234,735
42,1964,432,7771,1290,1270,746
43,1754,474,7771,1318,1303,766
44,1920,378,7771,1349,1329,783
46,1707,449,7771,1381,1366,799
47,1675,525,7771,1409,1393,819
48,1933,444,7771,1442,1424,834
49,1781,522,7771,1473,1456,851
50,1753,530,7771,1505,1487,868
51,1847,359,7771,1537,1519,885
52,2008,363,7771,1574,1555,896
53,1752,376,7771,1608,1590,910
54,1541,400,7771,1637,1623,929
55,2137,324,7771,1671,1652,943
56,1698,307,7771,1705,1690,957
57,1974,323,7771,1738,1721,972
58,1756,444,7771,1770,1754,988
59,1857,330,7771,1799,1783,1007
60,1903,482,7771,1833,1815,1021
61,1844,480,7771,1873,1855,1029
62,1800,407,7771,1906,1888,1044
63,1783,480,7771,1940,1921,1058
64,1703,370,7771,1971,1954,1075
65,1777,376,7771,2005,1989,1089
66,2038,392,7771,2036,2017,1106
67,1787,431,7771,2068,2052,1122
68,1653,404,7771,2103,2087,1135
69,1528,378,7771,2132,2120,1154
70,1771,410,7771,2168,2150,1166
71,1913,509,7771,2202,2183,1179
72,2011,348,7771,2236,2218,1193
73,1497,480,7771,2266,2254,1212
74,1528,480,7771,2294,2280,1231
75,1833,400,7771,2334,2315,1239
76,1953,462,7771,2370,2351,1251
77,1826,364,7771,2403,2385,1266
78,1968,340,7771,2437,2418,1279
79,1752,324,7771,2472,2453,1292
80,1773,360,7771,2503,2486,1309
81,1795,448,7771,2536,2519,1324
82,1788,482,7771,2569,2552,1339
83,1712,377,7771,2599,2582,1357
84,1824,417,7771,2631,2614,1373
85,1666,458,7771,2659,2644,1393
86,1768,376,7771,2693,2675,1407
87,1653,521,7771,2730,2713,1418
88,1819,403,7771,2762,2744,1434
89,1731,456,7771,2793,2777,1451
90,1535,460,7771,2827,2811,1465
91,1506,326,7771,2854,2841,1486
92,1542,432,7771,2893,2877,1495
93,1565,354,7771,2931,2915,1505
94,1826,570,7771,2964,2947,1520
95,1764,325,7771,2997,2980,1535
96,1791,340,7771,3031,3013,1549
97,1503,566,7771,3063,3046,1565
98,1708,424,7771,3097,3079,1580
99,1761,328,7771,3130,3112,1594
100,1715,425,7771,3164,3149,1608
101,1710,420,7771,3199,3182,1621
102,1693,364,7771,3236,3218,1631
103,1501,482,7771,3268,3253,1647
104,1779,332,7771,3300,3282,1663
105,1916,331,7771,3328,3310,1683
106,1634,352,7771,3357,3342,1702
107,1747,524,7771,3389,3371,1718
108,1707,480,7771,3420,3404,1735
109,1581,394,7771,3449,3434,1754
110,1668,476,7771,3476,3461,1775
111,1565,324,7771,3507,3492,1792
112,1937,376,7771,3542,3524,1805
113,1617,364,7771,3570,3554,1825
114,1734,432,7771,3601,3585,1842
115,1450,392,7771,3631,3618,1860
116,1795,422,7771,3667,3649,1871
117,1743,364,7771,3706,3688,1879
118,1549,535,7771,3735,3719,1897
