# SPDX-License-Identifier: MIT
# p2-vrampress-vm1.csv, from the run -- 69b/hetero policy, 2026-08-21.
vrampress: start free 1187 MiB of 1280 MiB, mode max, chunk 128 MiB, churn 64 MiB, 120 s
vrampress: refused at 1152 MiB held after 9 allocations (CUresult 2)
vrampress: grown to 1152 MiB held, 35 MiB free of 1280 MiB
t,held_mib,free_mib,total_mib,allocs,frees,fails
0,1024,163,1280,9,1,2
1,1024,163,1280,34,26,26
2,1149,38,1280,62,50,47
3,1137,50,1280,86,76,73
4,1042,145,1280,113,104,96
5,1024,163,1280,139,131,119
6,1024,163,1280,165,157,142
7,1128,59,1280,193,182,164
8,1099,88,1280,219,209,187
9,1129,58,1280,246,235,209
10,1130,57,1280,272,261,233
11,1069,118,1280,297,288,257
12,1024,163,1280,321,313,282
13,1084,103,1280,348,338,304
14,1123,64,1280,374,364,327
15,1127,60,1280,400,389,350
16,1134,53,1280,425,415,374
17,1129,58,1280,451,441,397
18,1128,59,1280,477,467,420
19,1100,87,1280,503,493,444
20,1129,58,1280,529,519,467
21,1024,163,1280,554,546,492
22,1072,115,1280,582,572,514
23,1148,39,1280,609,599,536
24,1093,94,1280,634,624,560
25,1045,142,1280,659,650,584
26,1099,88,1280,685,676,607
27,1088,99,1280,711,700,630
28,1057,130,1280,737,727,653
29,1131,56,1280,763,753,676
30,1074,113,1280,787,777,700
31,1174,13,1280,815,804,721
32,1059,128,1280,840,831,745
33,1024,163,1280,866,858,768
34,1099,88,1280,895,884,788
35,1134,53,1280,922,911,810
36,1161,26,1280,947,937,834
37,1126,61,1280,972,962,858
38,1072,115,1280,998,988,881
39,1081,106,1280,1025,1015,903
40,1074,113,1280,1050,1041,927
41,1107,80,1280,1076,1066,950
42,1085,102,1280,1105,1095,970
43,1102,85,1280,1131,1121,993
44,1057,130,1280,1155,1146,1018
45,1075,112,1280,1182,1172,1040
46,1152,35,1280,1208,1198,1063
47,1123,64,1280,1235,1224,1085
48,1121,66,1280,1261,1251,1108
49,1129,58,1280,1286,1276,1132
50,1126,61,1280,1313,1302,1154
51,1127,60,1280,1338,1328,1178
52,1101,86,1280,1364,1353,1202
53,1138,49,1280,1392,1382,1223
54,1072,115,1280,1416,1407,1248
55,1075,112,1280,1443,1433,1270
56,1177,10,1280,1469,1459,1293
57,1081,106,1280,1496,1487,1316
58,1057,130,1280,1522,1513,1339
59,1125,62,1280,1548,1537,1362
60,1083,104,1280,1574,1564,1385
61,1181,6,1280,1601,1590,1407
62,1065,122,1280,1626,1617,1431
63,1161,26,1280,1653,1641,1453
64,1187,0,1280,1679,1667,1476
65,1146,41,1280,1704,1694,1500
67,1085,102,1280,1730,1720,1524
68,1170,17,1280,1756,1745,1547
69,1165,22,1280,1781,1771,1571
70,1063,124,1280,1808,1798,1593
71,1137,50,1280,1835,1824,1615
72,1115,72,1280,1862,1851,1637
73,1130,57,1280,1890,1879,1658
74,1024,163,1280,1914,1906,1683
75,1156,31,1280,1943,1931,1703
76,1091,96,1280,1970,1960,1725
77,1060,127,1280,1995,1986,1749
78,1081,106,1280,2021,2011,1771
79,1167,20,1280,2048,2038,1793
80,1066,121,1280,2073,2063,1817
81,1165,22,1280,2099,2088,1840
82,1174,13,1280,2124,2114,1864
83,1119,68,1280,2150,2140,1887
84,1085,102,1280,2175,2166,1911
85,1176,11,1280,2204,2192,1931
86,1169,18,1280,2230,2220,1954
87,1175,12,1280,2257,2246,1976
88,1162,25,1280,2283,2272,1999
89,1147,40,1280,2309,2300,2022
90,1081,106,1280,2335,2326,2045
91,1062,125,1280,2360,2351,2069
92,1168,19,1280,2388,2377,2090
93,1165,22,1280,2414,2402,2114
94,1159,28,1280,2441,2429,2137
95,1075,112,1280,2468,2458,2159
96,1118,69,1280,2495,2485,2181
97,1159,28,1280,2522,2511,2204
98,1073,114,1280,2548,2539,2228
99,1186,1,1280,2577,2567,2248
100,1128,59,1280,2603,2593,2272
101,1112,75,1280,2629,2619,2295
102,1133,54,1280,2656,2645,2318
103,1156,31,1280,2682,2672,2341
104,1181,6,1280,2709,2698,2363
105,1184,3,1280,2737,2724,2384
106,1072,115,1280,2764,2755,2406
107,1129,58,1280,2791,2781,2428
108,1045,142,1280,2818,2809,2450
109,1112,75,1280,2844,2834,2474
110,1116,71,1280,2870,2861,2497
111,1093,94,1280,2897,2886,2519
112,1144,43,1280,2923,2913,2542
113,1024,163,1280,2949,2941,2565
114,1085,102,1280,2976,2967,2588
115,1155,32,1280,3002,2992,2611
116,1079,108,1280,3028,3018,2635
117,1175,12,1280,3055,3045,2657
118,1080,107,1280,3082,3072,2679
119,1172,15,1280,3111,3100,2699
120,1081,106,1280,3138,3128,2721
vrampress: done -- 3140 allocations, 3140 frees, 2723 refusals, free now 1187 MiB of 1280 MiB, recovery ok
