# SPDX-License-Identifier: MIT
# results.tsv, from the run -- matrix policy, 2026-08-21.
row	guest_mib	workload	value
uncapped	8192	bmw27	00:23.13
uncapped	8192	classroom	00:40.00
uncapped	8192	nvenc_fps	167
uncapped	8192	convburn	convburn: sync=end iters=400 batch=8 time=8.739s 21.85ms/it acc=3.041451216e+00 vram=1011MiB 
uncapped	8192	vrampress	grown to 6400 MiB
grid-8Q	6400	bmw27	00:23.26
grid-8Q	6400	classroom	00:41.03
grid-8Q	6400	nvenc_fps	165
grid-8Q	6400	convburn	convburn: sync=end iters=400 batch=8 time=8.708s 21.77ms/it acc=3.041451216e+00 vram=1011MiB 
grid-8Q	6400	vrampress	grown to 6272 MiB
grid-4Q	3072	bmw27	00:23.32
grid-4Q	3072	classroom	00:41.34
grid-4Q	3072	classroom4k	00:42.00
grid-4Q	3072	nvenc_fps	181
grid-4Q	3072	convburn	convburn: sync=end iters=400 batch=8 time=8.731s 21.83ms/it acc=3.041451216e+00 vram=1011MiB 
grid-4Q	3072	vrampress	grown to 2944 MiB
grid-2Q	1280	bmw27	00:23.58
grid-2Q	1280	classroom	00:41.56
grid-2Q	1280	classroom4k	00:43.14
grid-2Q	1280	nvenc_fps	183
grid-2Q	1280	convburn	convburn: sync=end iters=400 batch=8 time=8.781s 21.95ms/it acc=3.041451216e+00 vram=1011MiB 
grid-2Q	1280	vrampress	grown to 1152 MiB
grid-1Q	512	bmw27	fail
grid-1Q	512	classroom	fail
grid-1Q	512	classroom4k	fail
grid-1Q	512	nvenc_fps	172
